Amsterdam,realSum,room_private,person_capacity,cleanliness_rating,guest_satisfaction_overall,bedrooms,lng,lat
Amsterdam,737.2343168,FALSE,2,8,80,1,4.90366,52.35222
Amsterdam,685.9138097,FALSE,4,10,98,2,4.919,52.353
Amsterdam,823.4715159,FALSE,5,10,95,2,4.93679,52.3566
Amsterdam,307.220022,FALSE,2,9,94,1,4.93321,52.36461
Amsterdam,1997.281654,FALSE,6,9,100,3,4.89319,52.35964
Amsterdam,638.8114264,FALSE,2,9,99,1,4.84719,52.35043
Amsterdam,1136.550043,FALSE,4,10,97,3,4.89871,52.3447
Amsterdam,405.6429124,TRUE,4,10,90,1,4.99213,52.29304
Amsterdam,400.4874276,TRUE,2,10,94,0,4.8954,52.3659
Amsterdam,307.220022,TRUE,2,10,99,1,4.90795,52.35528
Amsterdam,688.0228716,TRUE,4,10,100,2,4.87548,52.36917
Amsterdam,648.8880557,FALSE,2,10,100,1,4.87085,52.36887
Amsterdam,331.8257446,FALSE,2,10,98,0,4.93143,52.37172
Amsterdam,420.4063459,FALSE,2,9,94,0,4.89098,52.35406
Amsterdam,774.2600708,FALSE,2,10,96,1,4.84777,52.38229
Amsterdam,1126.942095,FALSE,4,8,90,2,4.85516,52.38487
Amsterdam,208.7971317,TRUE,2,8,88,1,4.98931,52.3006
Amsterdam,522.3443395,TRUE,4,10,96,2,4.86053,52.35945
Amsterdam,448.5271717,TRUE,2,9,95,1,4.88988,52.38406
Amsterdam,204.1103274,TRUE,2,10,94,1,4.9921,52.2963
Amsterdam,442.6686664,TRUE,2,9,88,1,4.88623,52.37925
Amsterdam,325.4985588,TRUE,2,10,95,1,4.90341,52.34467
Amsterdam,1351.908701,FALSE,4,9,97,2,4.88411,52.37299
Amsterdam,583.9758161,FALSE,4,10,100,2,4.94575,52.32125
Amsterdam,614.4400441,FALSE,4,9,98,3,4.90319,52.40916
Amsterdam,279.0991962,TRUE,4,9,93,1,4.78942,52.35666
Amsterdam,345.1831369,TRUE,2,10,94,1,4.88623,52.36325
Amsterdam,245.8228857,TRUE,4,10,99,0,4.90543,52.39782
Amsterdam,522.3443395,FALSE,3,10,97,2,4.98045,52.30713
Amsterdam,303.4705786,TRUE,4,5,80,0,4.83907,52.3842
Amsterdam,798.8657934,FALSE,5,9,95,3,4.86308,52.34427
Amsterdam,654.9809013,TRUE,2,10,96,1,4.89924,52.36353
Amsterdam,277.4588147,TRUE,2,10,98,1,4.83365,52.37301
Amsterdam,498.910318,TRUE,4,10,96,2,4.83556,52.37426
Amsterdam,491.6457713,FALSE,4,10,94,2,4.89156,52.34573
Amsterdam,442.4343262,TRUE,2,10,96,1,4.86382,52.36785
Amsterdam,202.7042861,TRUE,2,10,98,1,5.00683,52.34575
Amsterdam,258.0085769,FALSE,3,10,98,1,4.79,52.36
Amsterdam,245.8228857,TRUE,2,10,96,1,4.85118,52.34976
